date,temperature,precipitation,city,country,continent,latitude,longitude
1990-07-12,21.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-13,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-15,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-20,23.8,2.0,Bangalore,India,Asia,26.3,73.0167
1990-07-23,21.7,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-25,22.9,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-30,24.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-07-31,23.9,2.3,Bangalore,India,Asia,26.3,73.0167
1990-08-01,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-02,21.8,8.4,Bangalore,India,Asia,26.3,73.0167
1990-08-03,22.6,3.6,Bangalore,India,Asia,26.3,73.0167
1990-08-05,22.9,2.0,Bangalore,India,Asia,26.3,73.0167
1990-08-07,21.4,10.4,Bangalore,India,Asia,26.3,73.0167
1990-08-11,21.8,25.9,Bangalore,India,Asia,26.3,73.0167
1990-08-12,22.3,0.3,Bangalore,India,Asia,26.3,73.0167
1990-08-14,20.3,4.1,Bangalore,India,Asia,26.3,73.0167
1990-08-16,21.4,0.5,Bangalore,India,Asia,26.3,73.0167
1990-08-17,22.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-18,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-19,22.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-21,22.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-23,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-24,23.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-30,23.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-08-31,23.5,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-01,23.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-02,25.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-04,21.9,0.3,Bangalore,India,Asia,26.3,73.0167
1990-09-10,25.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-11,24.0,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-12,24.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-14,24.4,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-15,26.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-16,25.3,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-17,24.6,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-18,24.6,9.1,Bangalore,India,Asia,26.3,73.0167
1990-09-22,24.3,5.3,Bangalore,India,Asia,26.3,73.0167
1990-09-24,22.3,17.5,Bangalore,India,Asia,26.3,73.0167
1990-09-25,22.6,2.3,Bangalore,India,Asia,26.3,73.0167
1990-09-26,24.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-27,24.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-09-28,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-10-02,23.6,0.3,Bangalore,India,Asia,26.3,73.0167
1990-10-03,22.8,0.0,Bangalore,India,Asia,26.3,73.0167
1990-10-04,23.2,0.3,Bangalore,India,Asia,26.3,73.0167
1990-10-05,24.1,0.0,Bangalore,India,Asia,26.3,73.0167
1990-10-06,24.2,0.0,Bangalore,India,Asia,26.3,73.0167
1990-10-07,25.1,0.0,Bangalore,India,Asia,26.3,73.0167
